HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_FacilitiesInApt,SalePrice,TimeToSubway_min,Age,Size_m2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,262389,2.5,19,106.745547
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,176991,2.5,17,84.913342
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,230088,2.5,18,129.506782
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,69026,12.5,33,53.512128
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,205752,7.5,20,53.140516
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,148672,17.5,32,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,123893,12.5,33,53.512128
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,290265,2.5,18,80.639804
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,119469,12.5,19,59.086308
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,360176,2.5,18,137.775149
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,294690,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,118584,17.5,33,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,161061,7.5,20,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,161946,7.5,20,53.140516
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,356637,7.5,10,84.54173
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,215044,12.5,39,127.927431
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,448672,2.5,18,157.00607
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,117699,17.5,32,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,200000,7.5,20,69.026929
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,181415,17.5,32,163.602183
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,232743,7.5,20,69.026929
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,200000,2.5,19,84.913342
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,471504,2.5,11,116.314556
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,345132,2.5,18,80.639804
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,448672,2.5,18,157.00607
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,383185,2.5,18,137.775149
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,207964,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,137168,17.5,33,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,172566,17.5,32,84.913342
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,128318,17.5,28,59.829532
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,429203,2.5,11,119.93777299999999
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,99115,12.5,33,53.512128
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,150000,17.5,33,84.913342
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,267256,2.5,11,59.45792
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,207964,2.5,18,102.472009
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,238053,2.5,19,131.179036
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,73840,7.5,20,53.140516
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,137168,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,371681,2.5,18,128.856461
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,361061,2.5,18,141.119657
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,201566,30.0,16,84.54173
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,185398,2.5,19,83.891409
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,287610,2.5,12,84.263021
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,138053,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,504424,2.5,18,141.119657
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,245132,2.5,19,110.740376
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,307079,2.5,12,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,147761,2.5,12,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,63716,12.5,33,59.45792
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,185840,17.5,32,59.829532
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,345132,2.5,11,84.913342
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,96017,7.5,11,26.756064
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,83628,17.5,32,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,112389,12.5,33,59.45792
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,256637,17.5,32,163.602183
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,310619,2.5,11,78.595938
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,66371,7.5,39,47.194724
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,311504,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,202654,2.5,17,77.016587
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,7,254867,7.5,10,59.829532
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,227433,2.5,17,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,48053,12.5,33,32.980565
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,274336,7.5,20,84.913342
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,55752,7.5,40,54.534061
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,274336,2.5,18,80.639804
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,146256,2.5,12,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,128318,17.5,32,84.913342
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,154159,17.5,33,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,202654,2.5,18,80.639804
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75088,7.5,20,53.140516
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,146256,2.5,12,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,60176,12.5,33,53.512128
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,161061,2.5,47,80.918513
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,286725,2.5,18,102.472009
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,93362,7.5,40,54.534061
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,362831,2.5,18,152.63962899999999
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,161061,17.5,32,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,144752,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,346017,2.5,18,128.856461
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,178318,12.5,19,75.623042
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,178761,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,445132,2.5,18,179.116984
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,119469,17.5,28,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,61946,12.5,33,53.512128
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,230088,12.5,39,194.353076
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,217699,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,78318,17.5,33,59.829532
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,38938,12.5,33,32.980565
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,92920,17.5,32,59.829532
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,218584,17.5,33,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,234513,12.5,19,75.344333
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,333628,2.5,18,128.856461
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,300000,2.5,19,133.501611
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,349557,2.5,11,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,206194,17.5,32,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,143238,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,309734,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,265486,2.5,19,131.179036
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,515929,2.5,18,152.63962899999999
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,223008,12.5,39,166.853788
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,206637,7.5,20,53.140516
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,159292,17.5,32,119.659064
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,348672,2.5,18,128.856461
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,64601,12.5,33,59.45792
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,336283,2.5,18,118.265519
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,61504,7.5,11,14.492868
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,112566,7.5,20,53.140516
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,207964,2.5,19,75.994654
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,184070,17.5,32,134.802253
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,219469,30.0,16,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,254123,2.5,12,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,144752,2.5,12,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,191150,12.5,19,84.54173
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,331858,2.5,19,191.008568
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,141592,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,522123,2.5,18,179.116984
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,230088,2.5,17,77.016587
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,7,282300,7.5,10,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,102601,2.5,12,39.576678
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,262831,2.5,19,75.994654
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,380530,2.5,18,118.265519
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,194690,17.5,32,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,73840,7.5,20,53.140516
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,82300,12.5,33,53.512128
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,310176,2.5,11,78.317229
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,442477,2.5,18,152.63962899999999
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,93097,7.5,11,26.756064
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,32743,12.5,33,32.980565
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,143805,7.5,20,69.026929
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,166371,17.5,28,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,203539,12.5,19,59.086308
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,262929,30.0,16,107.76748
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,134.802253
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,247787,2.5,19,133.501611
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,84070,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,135398,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,244911,2.5,12,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,371681,2.5,18,118.265519
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,252212,2.5,17,77.016587
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,130973,17.5,32,59.829532
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,218584,2.5,19,79.617871
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,141592,7.5,20,69.026929
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,448672,2.5,18,157.00607
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,300000,12.5,19,75.344333
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,429203,2.5,18,179.116984
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,55752,7.5,11,14.492868
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,299115,7.5,10,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,97345,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,153982,17.5,32,59.829532
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,314159,2.5,11,78.595938
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,361946,2.5,11,84.913342
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,199115,2.5,19,79.617871
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,109734,7.5,40,54.534061
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,362831,2.5,18,128.856461
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,199115,2.5,17,77.016587
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,130973,17.5,32,59.829532
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,58407,7.5,11,14.492868
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,235398,7.5,20,69.026929
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,287610,2.5,19,106.745547
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,309734,7.5,20,109.997152
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,229203,2.5,18,131.829357
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,109734,12.5,33,53.512128
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,169911,2.5,17,84.913342
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,265442,30.0,16,107.76748
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,99823,7.5,11,26.756064
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,200318,30.0,16,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,349557,2.5,18,131.829357
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,305309,17.5,32,163.602183
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,393805,2.5,18,137.775149
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,192920,30.0,16,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,255442,2.5,12,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,165486,2.5,18,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,54867,12.5,33,59.45792
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,130973,12.5,39,84.913342
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,292035,2.5,19,161.929929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,251327,7.5,20,69.026929
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,122123,17.5,32,84.913342
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,253097,2.5,18,131.829357
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,265486,2.5,19,79.617871
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,155752,17.5,32,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,340707,2.5,18,80.639804
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,295575,2.5,18,129.506782
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,407079,2.5,18,129.506782
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,203646,30.0,16,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,259292,2.5,18,131.829357
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,206194,17.5,32,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,255442,2.5,12,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,263345,2.5,12,84.54173
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,250442,2.5,17,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,193805,2.5,18,80.639804
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,94955,7.5,40,62.802428
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,246017,2.5,11,59.45792
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,92035,17.5,32,59.829532
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,54867,7.5,11,12.820613999999999
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,398230,2.5,18,141.119657
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,207079,2.5,19,83.891409
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,92920,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,238053,2.5,19,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,200884,2.5,17,77.016587
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,517699,2.5,18,179.116984
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,308849,2.5,18,80.639804
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,356637,2.5,18,152.63962899999999
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,272566,2.5,18,126.905498
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,413716,7.5,10,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,147761,2.5,12,59.829532
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,230088,2.5,18,129.506782
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,115044,17.5,33,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,255442,2.5,12,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,362831,2.5,18,152.63962899999999
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,150778,2.5,12,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75920,7.5,20,53.140516
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,210619,2.5,18,80.639804
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,119469,12.5,33,53.512128
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,179646,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,526548,2.5,18,152.63962899999999
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,305309,7.5,10,59.829532
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,286902,2.5,18,129.506782
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,164601,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,150442,17.5,32,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,159292,12.5,39,121.981639
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,283185,2.5,18,126.905498
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,174336,2.5,19,83.891409
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,366371,2.5,11,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,161061,12.5,39,105.07329299999999
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,115044,17.5,33,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,132743,17.5,32,59.829532
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,74778,7.5,11,19.788339
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,211150,2.5,17,84.913342
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,334513,2.5,11,84.913342
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,307964,2.5,11,78.317229
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,101769,7.5,11,26.756064
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,517699,2.5,18,152.63962899999999
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,176991,17.5,32,134.802253
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,247787,17.5,32,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,176991,2.5,17,84.913342
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,207079,2.5,18,84.913342
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,460176,2.5,19,191.008568
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,192920,2.5,18,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,214159,2.5,17,77.016587
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,176991,2.5,17,77.016587
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,358407,2.5,11,84.54173
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,101327,7.5,11,26.756064
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,61946,7.5,40,54.534061
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,255442,2.5,12,84.263021
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,63716,12.5,33,32.980565
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,336283,2.5,12,84.54173
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,376106,2.5,19,106.745547
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,103663,2.5,12,39.576678
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,276991,30.0,16,84.54173
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,180973,2.5,19,83.891409
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,172566,7.5,20,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,80530,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,194690,2.5,19,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,255442,2.5,12,84.263021
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,149115,17.5,32,59.829532
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,307964,2.5,18,118.265519
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,161061,30.0,16,84.54173
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,185840,7.5,20,84.913342
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,294690,2.5,19,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,371681,2.5,18,137.775149
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,185840,17.5,32,217.114311
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,145132,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,146256,2.5,12,59.829532
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,221238,12.5,39,194.353076
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,157079,17.5,32,59.829532
